Model: DenseNet201
Image shape: (224, 224, 3)
Batch size: 16
Number of classes: 2

Epoch,Accuracy,Validation Accuracy
1,0.4375,0.801980197429657
2,0.8125,0.801980197429657
3,0.84375,0.801980197429657
4,0.84375,0.801980197429657
5,0.8125,0.801980197429657
6,0.75,0.801980197429657
7,0.7708333134651184,0.801980197429657
8,0.7604166865348816,0.801980197429657
9,0.7708333134651184,0.801980197429657
10,0.8645833134651184,0.801980197429657
11,0.84375,0.801980197429657
12,0.8333333134651184,0.801980197429657
13,0.6979166865348816,0.801980197429657
14,0.84375,0.801980197429657
15,0.8133333325386047,0.801980197429657
#pasted
Model: DenseNet201
Image shape: (224, 224, 3)
Batch size: 16
Dataset: /app/data/Datasets/glass_and_other
Number of classes: 2

Epoch,Accuracy,Validation Accuracy, Loss, Validation Loss
1,0.6499999761581421,0.7980198264122009,0.6106320023536682,0.48588648438453674
2,0.800000011920929,0.801980197429657,0.49690812826156616,0.45804139971733093
3,0.762499988079071,0.8099009990692139,0.5339202284812927,0.42290928959846497
4,0.800000011920929,0.8178218007087708,0.4463261663913727,0.41646498441696167
5,0.800000011920929,0.8336633443832397,0.41507425904273987,0.3887733221054077
6,0.7749999761581421,0.8356435894966125,0.4050527513027191,0.3715902268886566
7,0.8374999761581421,0.8396039605140686,0.34138888120651245,0.35946908593177795
8,0.862500011920929,0.8435643315315247,0.2861904799938202,0.35163766145706177
9,0.7749999761581421,0.8376237750053406,0.4058190882205963,0.33602553606033325
10,0.862500011920929,0.8257426023483276,0.3044120669364929,0.3369690179824829
11,0.862500011920929,0.8277227878570557,0.29278114438056946,0.327686071395874
12,0.887499988079071,0.8297029733657837,0.23126769065856934,0.3219926059246063
13,0.887499988079071,0.8613861203193665,0.28128916025161743,0.3133907616138458
14,0.8374999761581421,0.8752475380897522,0.31651467084884644,0.3128325045108795
15,0.862500011920929,0.8712871074676514,0.30980217456817627,0.3016006648540497
16,0.862500011920929,0.8732673525810242,0.27201035618782043,0.296703040599823
17,0.949999988079071,0.8732673525810242,0.25230854749679565,0.29356899857521057
18,0.925000011920929,0.8752475380897522,0.2608460783958435,0.28901413083076477
19,0.800000011920929,0.8792079091072083,0.4211387038230896,0.2986059784889221
20,0.0,0.8792079091072083,0.0,0.29860442876815796
21,0.8374999761581421,0.8792079091072083,0.2998724579811096,0.2853463888168335
22,0.8999999761581421,0.8891088962554932,0.2570860981941223,0.2861635684967041
23,0.824999988079071,0.8752475380897522,0.34159356355667114,0.28281450271606445
24,0.8500000238418579,0.8831683397293091,0.30148300528526306,0.2875833809375763
25,0.8374999761581421,0.8891088962554932,0.44269680976867676,0.2835395932197571
26,0.875,0.8871287107467651,0.27446672320365906,0.283101886510849
27,0.887499988079071,0.8891088962554932,0.2665439546108246,0.28181615471839905
28,0.862500011920929,0.8851485252380371,0.2897651791572571,0.2818828821182251
29,0.8999999761581421,0.8851485252380371,0.23756995797157288,0.28188595175743103
30,0.8500000238418579,0.8851485252380371,0.2919543981552124,0.2816963791847229
Model: DenseNet201
Image shape: (224, 224, 3)
Batch size: 16
Dataset: /app/data/Datasets/glass_and_other
Number of classes: 2

Epoch,Accuracy,Validation Accuracy, Loss, Validation Loss
1,0.699999988079071,0.5782178044319153,0.6270164251327515,0.687159538269043
2,0.7875000238418579,0.7841584086418152,0.48522576689720154,0.48173120617866516
3,0.824999988079071,0.805940568447113,0.4209323823451996,0.4683913588523865
4,0.875,0.8217821717262268,0.35579055547714233,0.4090883135795593
5,0.737500011920929,0.8356435894966125,0.4911828637123108,0.4194421172142029
6,0.862500011920929,0.8514851331710815,0.34725871682167053,0.38639283180236816
7,0.7749999761581421,0.8297029733657837,0.4119327962398529,0.4005182683467865
8,0.887499988079071,0.8475247621536255,0.32193318009376526,0.36890172958374023
9,0.800000011920929,0.8297029733657837,0.419450044631958,0.3960014879703522
10,0.862500011920929,0.8673267364501953,0.3686152994632721,0.33822932839393616
11,0.875,0.8732673525810242,0.3006671667098999,0.31912705302238464
12,0.8125,0.8673267364501953,0.35373082756996155,0.33266758918762207
13,0.75,0.8752475380897522,0.4054811894893646,0.3083970844745636
14,0.887499988079071,0.8712871074676514,0.26647165417671204,0.3025593161582947
15,0.875,0.8792079091072083,0.3176809847354889,0.3145260214805603
16,0.887499988079071,0.8772277235984802,0.3222857415676117,0.3039177656173706
17,0.8125,0.8752475380897522,0.3471412658691406,0.3055715560913086
18,0.9375,0.8752475380897522,0.21096810698509216,0.2947354018688202
19,0.8500000238418579,0.8811880946159363,0.2976265549659729,0.29654598236083984
20,0.0,0.8811880946159363,0.0,0.29654523730278015
21,0.887499988079071,0.8792079091072083,0.2999926209449768,0.29509633779525757
22,0.8500000238418579,0.8792079091072083,0.32929977774620056,0.294939786195755
23,0.800000011920929,0.8792079091072083,0.3651304244995117,0.29524877667427063
24,0.8999999761581421,0.8792079091072083,0.2316468209028244,0.2948771119117737
25,0.9125000238418579,0.8732673525810242,0.2550825774669647,0.29414430260658264
26,0.9125000238418579,0.8732673525810242,0.2618335783481598,0.2941271662712097
27,0.9375,0.8732673525810242,0.2115505188703537,0.2937549352645874
28,0.925000011920929,0.8732673525810242,0.24055545032024384,0.2930029034614563
29,0.875,0.8732673525810242,0.29345640540122986,0.29277923703193665
30,0.949999988079071,0.8712871074676514,0.24544449150562286,0.2921098470687866
